SmilesPE	0	0.0	5	5
DeepSMILES	23	0.742	31	8
SMILES	27	0.771	35	8
SELFIES	27	0.771	35	8
AIS	23	0.657	35	12
SmilesPE	0	0.0	6	6
DeepSMILES	41	0.837	49	8
SMILES	31	0.756	41	10
SELFIES	30	0.732	41	11
AIS	26	0.634	41	15
SmilesPE	0	0.0	8	8
DeepSMILES	43	0.811	53	10
SMILES	43	0.796	54	11
SELFIES	41	0.788	52	11
AIS	38	0.704	54	16
SmilesPE	1	0.077	13	12
DeepSMILES	8	0.533	15	7
SMILES	9	0.529	17	8
SELFIES	5	0.333	15	10
AIS	6	0.353	17	11
SmilesPE	0	0.0	4	4
DeepSMILES	30	0.811	37	7
SMILES	37	0.841	44	7
SELFIES	38	0.826	46	8
AIS	35	0.795	44	9
SmilesPE	0	0.0	8	8
DeepSMILES	13	0.591	22	9
SMILES	17	0.63	27	10
SELFIES	15	0.577	26	11
AIS	12	0.444	27	15
SmilesPE	0	0.0	6	6
DeepSMILES	42	0.737	57	15
SMILES	46	0.742	62	16
SELFIES	43	0.717	60	17
AIS	35	0.565	62	27
SmilesPE	0	0.0	14	14
DeepSMILES	33	0.825	40	7
SMILES	28	0.757	37	9
SELFIES	29	0.744	39	10
AIS	24	0.649	37	13
SmilesPE	0	0.0	5	5
DeepSMILES	75	0.862	87	12
SMILES	62	0.827	75	13
SELFIES	59	0.776	76	17
AIS	57	0.76	75	18
SmilesPE	2	0.095	21	19
DeepSMILES	16	0.727	22	6
SMILES	19	0.76	25	6
SELFIES	17	0.68	25	8
AIS	14	0.56	25	11
SmilesPE	0	0.0	6	6
DeepSMILES	18	0.72	25	7
SMILES	22	0.733	30	8
SELFIES	21	0.7	30	9
AIS	19	0.633	30	11
SmilesPE	0	0.0	6	6
